household_id,timestamp,usage_m3,district,type,household_size,lat,lon,temperature,supply_node,feedback
H0699,2025-09-20 10:00:00,0.083,Central,residential,2,13.001383,80.199135,12.98,Node_10,
H0414,2025-09-20 10:00:00,0.102,West,residential,3,12.959404,80.190012,16.58,Node_2,
H0789,2025-09-20 11:00:00,0.202,North,commercial,4,12.939087,80.196007,15.02,Node_6,
H0511,2025-09-20 11:00:00,0.245,West,commercial,6,12.896119,80.232283,14.44,Node_1,
H0388,2025-09-20 11:00:00,0.321,East,residential,4,12.899994,80.237255,14.02,Node_4,
H0138,2025-09-20 11:00:00,0.123,West,commercial,3,12.986744,80.182869,7.18,Node_3,
H0230,2025-09-20 11:00:00,0.167,East,residential,4,12.935834,80.185903,11.53,Node_8,
H0365,2025-09-20 11:00:00,0.111,North,residential,3,12.959476,80.233928,14.64,Node_6,
H0780,2025-09-20 11:00:00,0.105,West,residential,3,12.982664,80.184577,14.76,Node_10,
H0729,2025-09-20 11:00:00,0.246,South,commercial,4,12.956543,80.23666,17.69,Node_8,
H0454,2025-09-20 11:00:00,0.049,West,residential,2,12.937599,80.227007,10.37,Node_7,
H0146,2025-09-20 11:00:00,0.16,Central,residential,2,13.025796,80.214168,14.92,Node_4,
H0787,2025-09-20 11:00:00,0.128,West,residential,3,13.002005,80.25687,16.31,Node_1,
H0639,2025-09-20 12:00:00,0.219,North,residential,3,12.968291,80.148201,14.19,Node_2,
H0473,2025-09-20 12:00:00,0.138,South,residential,4,12.977193,80.238313,15.92,Node_5,
H0146,2025-09-20 12:00:00,0.117,Central,residential,2,13.026273,80.217009,8.1,Node_10,
H0383,2025-09-20 12:00:00,0.229,East,residential,5,12.960206,80.189656,10.63,Node_9,uneven supply across district billing incorrect high amount
H0622,2025-09-20 12:00:00,0.235,West,residential,5,12.948336,80.164172,16.53,Node_6,
H0050,2025-09-20 12:00:00,0.093,West,residential,4,12.955544,80.203915,14.0,Node_2,
H0564,2025-09-20 12:00:00,0.089,Central,residential,2,12.995895,80.220516,14.08,Node_3,
H0274,2025-09-20 12:00:00,0.093,East,residential,2,12.920884,80.208781,12.9,Node_2,
H0795,2025-09-20 12:00:00,0.031,South,residential,2,12.963959,80.184231,10.57,Node_9,
H0786,2025-09-20 13:00:00,0.072,North,residential,3,12.877087,80.191951,20.94,Node_8,
H0042,2025-09-20 13:00:00,0.146,North,residential,3,12.950541,80.193965,14.53,Node_4,
H0043,2025-09-20 13:00:00,0.229,North,commercial,6,12.941868,80.220721,14.98,Node_4,
H0327,2025-09-20 13:00:00,0.164,West,residential,3,12.919165,80.140755,19.11,Node_8,
H0623,2025-09-20 13:00:00,0.09,West,residential,4,12.929251,80.186363,13.49,Node_5,
H0099,2025-09-20 13:00:00,0.233,West,residential,5,13.012193,80.254879,19.16,Node_9,
H0799,2025-09-20 13:00:00,0.064,West,residential,3,12.962959,80.212208,15.17,Node_4,
H0761,2025-09-20 13:00:00,0.178,East,residential,5,12.916485,80.238741,18.26,Node_8,
H0261,2025-09-20 13:00:00,0.14,West,commercial,1,12.943906,80.206655,16.63,Node_3,
H0693,2025-09-20 13:00:00,0.188,West,commercial,3,12.94218,80.206367,13.62,Node_8,
H0676,2025-09-20 13:00:00,0.196,East,commercial,5,12.941808,80.219919,17.42,Node_5,
H0504,2025-09-20 13:00:00,0.179,Central,residential,4,12.950109,80.218026,15.48,Node_9,
H0581,2025-09-20 13:00:00,0.01,North,residential,1,12.929303,80.165469,17.73,Node_2,
H0571,2025-09-20 14:00:00,0.018,North,residential,3,12.914205,80.221695,12.08,Node_3,
H0478,2025-09-20 14:00:00,0.297,West,commercial,2,12.939189,80.261909,15.6,Node_9,
H0525,2025-09-20 14:00:00,0.124,West,residential,3,12.980738,80.170688,14.84,Node_7,
H0037,2025-09-20 14:00:00,0.072,North,residential,4,13.007664,80.215897,10.37,Node_3,water outage during weekend low water pressure in the morning
H0434,2025-09-20 14:00:00,0.113,East,residential,3,12.944705,80.209745,12.07,Node_4,
H0174,2025-09-20 14:00:00,0.064,West,commercial,4,12.967655,80.153837,15.07,Node_10,
H0171,2025-09-20 14:00:00,0.118,South,residential,1,12.964439,80.177698,9.58,Node_2,uneven supply across district tap water brown sometimes
H0616,2025-09-20 14:00:00,0.107,South,residential,2,12.991862,80.219239,13.67,Node_1,
H0390,2025-09-20 14:00:00,0.139,West,residential,4,12.936517,80.219708,8.61,Node_3,
H0414,2025-09-20 15:00:00,0.076,West,residential,3,12.959088,80.191782,16.53,Node_8,
H0719,2025-09-20 15:00:00,0.082,Central,residential,2,12.865021,80.190504,10.64,Node_1,
H0394,2025-09-20 15:00:00,0.201,South,commercial,4,12.923429,80.205083,10.66,Node_10,
H0386,2025-09-20 15:00:00,0.116,East,residential,3,12.968091,80.170754,14.39,Node_8,
H0607,2025-09-20 15:00:00,0.129,South,residential,4,12.965201,80.158708,14.03,Node_4,
H0316,2025-09-20 15:00:00,0.118,West,residential,3,12.95135,80.22881,16.3,Node_1,
H0309,2025-09-20 15:00:00,0.129,East,residential,3,12.908699,80.190757,15.31,Node_6,
H0179,2025-09-20 15:00:00,0.145,East,commercial,4,12.963594,80.233325,15.33,Node_1,
H0304,2025-09-20 15:00:00,0.102,Central,residential,3,12.864209,80.210614,16.98,Node_1,leak in pipeline near main road
H0533,2025-09-20 16:00:00,0.163,Central,commercial,4,12.962614,80.251596,15.22,Node_10,
H0380,2025-09-20 16:00:00,0.109,East,residential,2,12.956405,80.206572,11.15,Node_10,no water since yesterday evening low water pressure in the morning
H0411,2025-09-20 16:00:00,0.074,North,residential,3,12.907481,80.197647,13.94,Node_3,
H0107,2025-09-20 16:00:00,0.01,North,residential,1,12.935061,80.175125,15.34,Node_10,
H0704,2025-09-20 16:00:00,0.151,West,residential,3,12.970551,80.147195,16.92,Node_6,
H0055,2025-09-20 16:00:00,0.186,East,residential,6,12.886246,80.204377,12.63,Node_10,
H0400,2025-09-20 16:00:00,0.073,North,residential,1,12.892294,80.19086,11.3,Node_6,
H0598,2025-09-20 16:00:00,0.157,West,residential,4,12.974409,80.219974,9.72,Node_8,
H0558,2025-09-20 16:00:00,0.208,North,residential,5,12.902378,80.186818,13.68,Node_5,
H0184,2025-09-20 16:00:00,0.025,South,residential,1,12.906101,80.216753,17.83,Node_9,
H0449,2025-09-20 16:00:00,0.195,East,residential,5,12.952101,80.208268,17.13,Node_1,
H0799,2025-09-20 17:00:00,0.229,West,residential,3,12.964002,80.214517,9.31,Node_6,
H0199,2025-09-20 17:00:00,0.084,Central,residential,2,12.959581,80.210251,11.81,Node_8,
H0049,2025-09-20 17:00:00,0.124,West,commercial,5,12.965025,80.312597,9.9,Node_4,
H0014,2025-09-20 17:00:00,0.119,Central,residential,3,12.941924,80.188708,9.14,Node_8,
H0460,2025-09-20 17:00:00,0.237,North,residential,4,12.951285,80.205504,15.42,Node_2,
H0149,2025-09-20 17:00:00,0.137,East,residential,3,12.940315,80.195466,15.69,Node_3,
H0797,2025-09-20 17:00:00,0.252,West,commercial,2,12.954585,80.203098,10.17,Node_2,
H0159,2025-09-20 18:00:00,0.021,North,residential,2,12.943233,80.187995,16.97,Node_9,leak in pipeline near main road billing incorrect high amount
H0342,2025-09-20 18:00:00,0.027,Central,residential,3,13.00078,80.176885,11.04,Node_10,
H0646,2025-09-20 18:00:00,0.256,South,commercial,3,12.937194,80.140007,17.55,Node_8,
H0450,2025-09-20 18:00:00,0.176,West,residential,3,12.984665,80.193828,15.88,Node_6,
H0389,2025-09-20 18:00:00,0.31,West,residential,6,12.920719,80.212715,15.59,Node_1,
H0562,2025-09-20 18:00:00,0.266,North,residential,4,12.998459,80.229642,12.26,Node_7,
H0026,2025-09-20 18:00:00,0.24,North,residential,5,12.931092,80.186289,12.05,Node_6,
H0626,2025-09-20 18:00:00,0.419,West,residential,6,12.918103,80.291121,16.06,Node_3,
H0635,2025-09-20 18:00:00,0.091,North,residential,2,12.950282,80.215273,14.84,Node_9,
H0720,2025-09-20 18:00:00,0.312,South,residential,3,12.957653,80.166398,13.09,Node_4,
H0240,2025-09-20 19:00:00,0.314,Central,residential,5,12.905111,80.25918,15.04,Node_6,dirty water smell
H0459,2025-09-20 19:00:00,0.258,Central,residential,6,12.891621,80.207882,9.83,Node_4,
H0638,2025-09-20 19:00:00,0.076,South,residential,2,12.97626,80.190816,12.25,Node_5,
H0420,2025-09-20 19:00:00,0.12,North,residential,4,12.966626,80.197441,15.12,Node_9,
H0710,2025-09-20 19:00:00,0.251,North,residential,4,12.928956,80.19214,13.56,Node_2,
H0097,2025-09-20 19:00:00,0.228,North,commercial,4,12.972093,80.167887,13.77,Node_8,
H0648,2025-09-20 19:00:00,0.038,East,residential,2,12.888996,80.225914,15.14,Node_7,uneven supply across district
H0608,2025-09-20 19:00:00,0.186,South,residential,4,12.968474,80.226546,15.13,Node_6,
H0643,2025-09-20 19:00:00,0.223,West,residential,4,12.966266,80.207455,14.36,Node_10,
H0785,2025-09-20 19:00:00,0.125,East,residential,2,12.935579,80.164182,13.95,Node_2,
H0340,2025-09-20 20:00:00,0.135,Central,residential,3,12.938908,80.176398,9.97,Node_5,
H0330,2025-09-20 20:00:00,0.212,Central,residential,5,12.973579,80.17554,9.16,Node_5,
H0337,2025-09-20 20:00:00,0.153,Central,residential,3,12.930105,80.218243,12.92,Node_3,
H0336,2025-09-20 20:00:00,0.057,North,residential,1,12.9757,80.17148,10.58,Node_8,
H0413,2025-09-20 20:00:00,0.013,North,residential,1,12.940581,80.177941,15.9,Node_2,
H0329,2025-09-20 20:00:00,0.249,North,commercial,4,12.973793,80.178712,13.89,Node_1,
H0769,2025-09-20 20:00:00,0.197,South,residential,3,12.966,80.179324,15.01,Node_4,
H0530,2025-09-20 20:00:00,0.201,South,commercial,4,12.982495,80.232898,14.19,Node_9,
H0066,2025-09-20 21:00:00,0.249,Central,residential,6,12.937017,80.204925,10.45,Node_1,
H0179,2025-09-20 21:00:00,0.204,East,commercial,4,12.965482,80.23809,20.67,Node_7,
H0396,2025-09-20 21:00:00,0.179,Central,residential,3,12.945426,80.209445,14.18,Node_1,
H0466,2025-09-20 21:00:00,0.238,South,residential,4,12.95702,80.241378,13.06,Node_9,
H0441,2025-09-20 21:00:00,0.176,Central,residential,3,12.917226,80.208996,17.71,Node_1,
H0593,2025-09-20 22:00:00,0.215,East,commercial,2,12.931278,80.209509,16.33,Node_10,
H0142,2025-09-20 22:00:00,0.069,North,residential,3,12.945144,80.203381,15.33,Node_4,
H0776,2025-09-20 22:00:00,0.229,East,commercial,4,12.990496,80.197255,11.32,Node_1,
H0269,2025-09-20 22:00:00,0.217,South,residential,3,12.978448,80.274623,12.65,Node_3,
H0617,2025-09-20 23:00:00,0.173,North,residential,4,13.010543,80.232131,15.67,Node_3,
H0385,2025-09-20 23:00:00,0.232,South,residential,4,12.887226,80.181872,13.85,Node_7,
H0392,2025-09-20 23:00:00,0.091,South,residential,1,12.980954,80.164223,11.53,Node_6,
H0059,2025-09-20 23:00:00,0.169,East,residential,2,12.985569,80.182105,15.61,Node_10,
H0344,2025-09-20 23:00:00,0.143,East,residential,3,13.00871,80.25529,12.92,Node_3,
H0653,2025-09-20 23:00:00,0.066,North,residential,2,12.958121,80.194041,15.78,Node_2,
H0128,2025-09-20 23:00:00,0.148,South,commercial,4,12.954821,80.20078,14.52,Node_5,
H0118,2025-09-20 23:00:00,0.168,East,residential,3,12.950949,80.206611,14.51,Node_10,
H0067,2025-09-20 23:00:00,0.01,South,residential,1,12.931863,80.226323,17.42,Node_10,uneven supply across district excellent timely supply
H0575,2025-09-20 23:00:00,0.142,South,residential,4,12.964704,80.193236,13.8,Node_2,billing incorrect high amount water outage during weekend
H0080,2025-09-20 23:00:00,0.149,West,commercial,6,12.930241,80.241884,15.9,Node_2,
H0404,2025-09-20 23:00:00,0.133,North,residential,3,12.960189,80.21826,17.79,Node_10,
H0084,2025-09-21 00:00:00,0.053,Central,residential,3,12.94309,80.21257,17.33,Node_1,
H0540,2025-09-21 00:00:00,0.199,East,residential,5,12.952722,80.182752,18.83,Node_9,
H0448,2025-09-21 00:00:00,0.129,South,residential,4,12.95794,80.126876,10.49,Node_1,
H0385,2025-09-21 00:00:00,0.16,South,residential,4,12.886052,80.182086,13.0,Node_9,
H0749,2025-09-21 00:00:00,0.075,South,residential,3,12.941758,80.192475,14.48,Node_8,
H0504,2025-09-21 00:00:00,0.098,Central,residential,4,12.951437,80.215755,14.52,Node_10,
H0416,2025-09-21 00:00:00,0.131,East,commercial,3,12.937508,80.180668,17.45,Node_4,
H0569,2025-09-21 00:00:00,0.211,North,residential,3,12.939755,80.196016,15.72,Node_4,
H0533,2025-09-21 00:00:00,0.146,Central,commercial,4,12.967338,80.251256,13.9,Node_7,
H0164,2025-09-21 00:00:00,0.071,East,residential,3,12.981862,80.204421,15.66,Node_3,
H0139,2025-09-21 01:00:00,0.192,North,residential,4,12.977102,80.241251,15.8,Node_9,
H0705,2025-09-21 01:00:00,0.152,South,residential,3,12.945486,80.210842,18.66,Node_4,
H0098,2025-09-21 01:00:00,0.095,East,residential,2,12.955358,80.263454,11.66,Node_8,
H0643,2025-09-21 01:00:00,0.155,West,residential,4,12.963123,80.211644,16.25,Node_7,
H0525,2025-09-21 01:00:00,0.14,West,residential,3,12.985789,80.171696,8.9,Node_4,
H0677,2025-09-21 01:00:00,0.062,West,residential,2,12.934688,80.168189,14.79,Node_2,
H0073,2025-09-21 01:00:00,0.06,Central,residential,1,12.959485,80.199996,9.04,Node_4,tap water brown sometimes
H0389,2025-09-21 01:00:00,0.266,West,residential,6,12.921639,80.211088,13.37,Node_4,
H0538,2025-09-21 01:00:00,0.143,North,commercial,2,12.917756,80.169254,17.62,Node_4,
H0494,2025-09-21 01:00:00,0.098,East,residential,3,12.961358,80.186535,18.33,Node_10,
H0179,2025-09-21 01:00:00,0.15,East,commercial,4,12.965222,80.23225,18.09,Node_5,
H0194,2025-09-21 02:00:00,0.127,Central,residential,5,12.981486,80.249283,8.62,Node_4,leak in pipeline near main road
H0217,2025-09-21 02:00:00,0.183,South,commercial,2,12.971381,80.197193,9.39,Node_1,
H0374,2025-09-21 02:00:00,0.111,East,residential,2,12.984287,80.215967,20.7,Node_4,
H0518,2025-09-21 02:00:00,0.184,East,residential,3,12.933155,80.167906,13.9,Node_7,
H0632,2025-09-21 02:00:00,0.195,Central,residential,4,12.946652,80.187057,11.65,Node_8,
H0239,2025-09-21 02:00:00,0.201,West,residential,3,12.915809,80.15631,17.51,Node_7,
H0665,2025-09-21 02:00:00,0.184,East,commercial,3,12.953303,80.243994,13.23,Node_2,
H0790,2025-09-21 02:00:00,0.11,North,residential,2,12.900569,80.203938,14.38,Node_9,dirty water smell
H0007,2025-09-21 02:00:00,0.132,North,residential,3,12.951203,80.167061,13.08,Node_3,
H0444,2025-09-21 02:00:00,0.01,East,residential,2,12.956577,80.253245,12.33,Node_5,
H0410,2025-09-21 03:00:00,0.183,East,residential,3,12.936397,80.133588,11.63,Node_2,
H0045,2025-09-21 03:00:00,0.261,South,commercial,3,12.95812,80.161956,12.86,Node_8,
H0098,2025-09-21 03:00:00,0.115,East,residential,2,12.9579,80.258821,17.24,Node_2,
H0023,2025-09-21 03:00:00,0.068,South,residential,3,12.948515,80.212599,15.52,Node_7,
H0719,2025-09-21 03:00:00,0.053,Central,residential,2,12.862313,80.190173,15.61,Node_4,
H0717,2025-09-21 04:00:00,0.135,East,residential,3,12.962775,80.216527,9.86,Node_8,
H0555,2025-09-21 04:00:00,0.265,East,residential,4,12.943072,80.19571,15.32,Node_3,
H0767,2025-09-21 04:00:00,0.098,East,residential,2,12.960661,80.204373,16.44,Node_8,
H0677,2025-09-21 04:00:00,0.112,West,residential,2,12.934237,80.170482,13.76,Node_9,
H0198,2025-09-21 04:00:00,0.114,South,residential,3,12.924519,80.203187,20.52,Node_7,
H0420,2025-09-21 04:00:00,0.149,North,residential,4,12.968931,80.197242,13.74,Node_4,
H0440,2025-09-21 04:00:00,0.16,South,residential,2,12.914194,80.173376,12.96,Node_2,
H0756,2025-09-21 04:00:00,0.239,West,residential,2,13.02833,80.182235,12.98,Node_6,
H0735,2025-09-21 04:00:00,0.109,North,residential,4,12.92484,80.234616,18.94,Node_2,
H0427,2025-09-21 05:00:00,0.286,South,residential,4,12.992315,80.195698,15.89,Node_9,
H0083,2025-09-21 05:00:00,0.3,North,residential,4,12.964733,80.24579,12.04,Node_1,
H0276,2025-09-21 05:00:00,0.211,Central,residential,4,12.930786,80.206698,12.64,Node_7,
H0767,2025-09-21 05:00:00,0.116,East,residential,2,12.965476,80.203455,11.8,Node_8,
H0437,2025-09-21 06:00:00,0.287,Central,residential,4,12.94837,80.212645,10.43,Node_4,
H0572,2025-09-21 06:00:00,0.115,North,residential,2,12.967997,80.169543,18.6,Node_10,leak in pipeline near main road no water since yesterday evening
H0313,2025-09-21 06:00:00,0.284,East,residential,4,12.951126,80.171153,17.54,Node_3,billing incorrect high amount dirty water smell
H0501,2025-09-21 06:00:00,0.213,South,residential,4,12.939701,80.220557,8.07,Node_6,
H0506,2025-09-21 06:00:00,0.246,South,residential,4,12.955164,80.164266,16.42,Node_2,
H0014,2025-09-21 06:00:00,0.207,Central,residential,3,12.944784,80.189884,13.0,Node_9,
H0148,2025-09-21 06:00:00,0.284,East,commercial,3,12.990856,80.174915,13.95,Node_3,
H0782,2025-09-21 06:00:00,0.258,East,commercial,3,12.90663,80.216029,10.54,Node_8,tap water brown sometimes dirty water smell
H0442,2025-09-21 06:00:00,0.179,East,residential,3,12.959738,80.23177,17.36,Node_5,
H0065,2025-09-21 06:00:00,0.244,East,residential,4,13.012381,80.141367,12.45,Node_5,
H0438,2025-09-21 07:00:00,0.124,South,residential,3,12.954209,80.16325,11.6,Node_3,
H0761,2025-09-21 07:00:00,0.25,East,residential,5,12.918666,80.236149,10.82,Node_7,
H0774,2025-09-21 07:00:00,0.161,West,residential,3,12.982055,80.215269,17.66,Node_8,
H0100,2025-09-21 07:00:00,0.114,Central,residential,2,12.996598,80.223943,9.09,Node_10,
H0535,2025-09-21 07:00:00,0.069,West,residential,1,12.90342,80.189559,11.72,Node_4,
H0313,2025-09-21 07:00:00,0.276,East,residential,4,12.949144,80.171311,11.11,Node_2,billing incorrect high amount dirty water smell
H0752,2025-09-21 07:00:00,0.126,South,residential,3,12.98724,80.23309,18.32,Node_10,
H0218,2025-09-21 07:00:00,0.226,East,residential,3,12.979446,80.195608,13.29,Node_10,
H0583,2025-09-21 08:00:00,0.138,North,residential,2,12.977663,80.258589,16.34,Node_8,
H0398,2025-09-21 08:00:00,0.213,North,commercial,4,12.97688,80.182856,17.26,Node_1,
H0636,2025-09-21 08:00:00,0.106,South,residential,3,12.920116,80.175972,11.55,Node_3,
H0784,2025-09-21 08:00:00,0.087,West,residential,2,12.930285,80.208322,15.98,Node_7,
H0312,2025-09-21 08:00:00,0.062,East,residential,1,12.918563,80.197346,16.49,Node_5,
H0394,2025-09-21 08:00:00,0.305,South,commercial,4,12.917359,80.205661,15.13,Node_9,
H0280,2025-09-21 08:00:00,0.204,West,residential,4,12.958434,80.177766,15.46,Node_5,
H0793,2025-09-21 08:00:00,0.054,East,residential,1,12.924893,80.186976,9.69,Node_7,
